prd_code,prd_name,rate,rate_script,week_year_rate,month_year_rate,three_month_year_rate,half_year_year_rate,unit_rate,estab_ratio,risk_level,curr_type,pfirst_amt,sold_out,prd_labels,fetched_at
WH2025109A,上银理财慧精灵9号,1.36,七日年化,1.36,1.38,1.39,1.48,0.3713,1.47,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.248579
J13163,苏银理财恒源融达1号6月M,,,0,0,0,0,,2.08,2,CNY,1.0,0,,2026-03-16 19:55:49.249187
J13164,苏银理财恒源融达1号6月N,,,0,0,0,0,,2.17,2,CNY,10000.0,0,,2026-03-16 19:55:49.249780
W2016901B,上银理财易精灵-新户专享,1.56,七日年化,1.56,1.58,1.61,1.47,0.335,0,1,CNY,1.0,0,现金管理类,2026-03-16 19:55:49.250304
W2016901A,上银理财易精灵2号,1.56,七日年化,1.56,1.58,1.61,1.47,0.335,0,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.250817
W2009901A,上银理财易精灵1号,1.17,七日年化,1.17,1.18,1.37,1.3,0.3163,0,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.251329
W2023902A,上银理财易精灵4号,1.56,七日年化,1.56,1.61,1.64,1.66,0.4218,2.06,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.251923
W2023905A,上银理财易精灵5号,1.35,七日年化,1.35,1.37,1.38,1.38,0.3689,1.86,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.252456
W2023906A,上银理财易精灵6号,1.5,七日年化,1.5,1.52,1.55,1.63,0.4088,2.07,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.252984
W2023908A,上银理财易精灵8号,1.61,七日年化,1.61,1.64,1.67,1.68,0.4369,2.07,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.253559
W2023908R,上银理财易精灵8号-零售子款,1.61,七日年化,1.61,1.64,1.67,1.68,0.4369,2.04,1,CNY,0.01,0,现金管理类,2026-03-16 19:55:49.254073
W2023909A,上银理财易精灵9号,1.7,七日年化,1.7,1.73,1.71,1.69,0.4609,2.05,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.254574
W2023910A,上银理财易精灵10号,1.66,七日年化,1.66,1.68,1.71,1.71,0.4519,2.03,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.255081
W2023911A,上银理财易精灵11号,1.62,七日年化,1.62,1.62,1.62,1.64,0.4597,2,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.255580
W2023912A,上银理财易精灵12号,1.24,七日年化,1.24,1.36,1.4,1.41,0.3623,1.76,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.256085
W2023913A,上银理财易精灵13号,1.24,七日年化,1.24,1.35,1.39,1.4,0.3657,1.81,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.256581
W2023914A,上银理财易精灵14号,1.41,七日年化,1.41,1.44,1.45,1.46,0.3831,1.68,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.257083
W2023915A,上银理财易精灵15号,1.5,七日年化,1.5,1.55,1.56,1.57,0.4222,1.73,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.257588
W2023901A,上银理财易精灵3号,1.36,七日年化,1.36,1.4,1.43,1.42,0.3529,1.88,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.258096
W2016901M,上银理财易精灵-美好款,1.77,七日年化,1.77,1.78,1.84,1.74,0.3898,2.04,1,CNY,0.01,1,现金管理类,2026-03-16 19:55:49.258590
W2025931A,上银理财易精灵31号,,,1.738,1.74,1.693,0,0.473,1.74,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.259094
W2025920A,上银理财易精灵20号,1.38,七日年化,1.38,1.39,1.39,0,0.3735,1.45,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.259584
W2025916A,上银理财易精灵16号,1.59,七日年化,1.59,1.6,1.62,1.63,0.4461,1.58,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.260082
W2025918A,上银理财易精灵18号,1.663,七日年化,1.663,1.659,1.602,1.2,0.4505,1.2,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.260575
W2025919A,上银理财易精灵19号,1.37,七日年化,1.37,1.37,1.39,0,0.3755,1.33,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.261082
WPJK18M0617,上银理财净享利17期-6个月开放,3.38,成立以来年化,0,2.2,3.31,2.3,,3.38,2,CNY,1.0,0,,2026-03-16 19:55:49.261581
WPJK18M0617K,上银理财净享利17期-6个月-回馈款,2.67,成立以来年化,0,2.44,3.56,2.54,,2.67,2,CNY,1.0,0,,2026-03-16 19:55:49.262093
WPJK18M1241,上银理财净享利41期-1年开放-大众款,3.41,成立以来年化,0,2.61,3.42,2.4,,3.41,2,CNY,1.0,0,,2026-03-16 19:55:49.262586
WPJK18M1241Y,上银理财净享利41期-1年开放-专享款,2.73,成立以来年化,0,2.67,3.47,2.45,,2.73,2,CNY,1.0,0,,2026-03-16 19:55:49.263089
WPLK22M1401A,上银理财领航精选-14个月持有,3.89,近3月年化,0,0.18,3.89,2.93,,2.45,2,CNY,1.0,0,,2026-03-16 19:55:49.263583
WPLK24M1201A,上银理财领航精选-12个月持有期1号,,,0,3.28,5.25,4.77,,4.74,2,CNY,1.0,1,,2026-03-16 19:55:49.264082
WPLK25M0901A,上银理财领航精选-270天持有期1号,,,0,4.13,4.92,0,,4.44,2,CNY,0.01,1,,2026-03-16 19:55:49.264575
WPLK25M0601A,上银理财领航精选-180天持有期1号,,,0,4.13,4.91,0,,4.44,2,CNY,0.01,1,,2026-03-16 19:55:49.265085
WPLK24M2101A,上银理财领航红利进取-1.8年持有期1号,5.18,成立以来年化,0,1.03,9.32,6.27,,5.18,2,CNY,1.0,0,,2026-03-16 19:55:49.265586
WPAF26Y03003A,上银理财安心颐选长盈3年-11期（悠享分红款）,,,0,0,0,0,,0,2,CNY,1.0,0,,2026-03-16 19:55:49.266088
WPYK25M0101A,上银理财核心优选-30天混合类持有期1号,,,0,2.62,8.48,0,,10.35,3,CNY,0.01,1,,2026-03-16 19:55:49.266580
WPXK24D1401A,上银理财鑫享利-14天周期开放式1号,3.22,成立以来年化,0,1.82,2.12,1.92,,3.22,2,CNY,1.0,0,,2026-03-16 19:55:49.267132
WPXK25M0306A,上银理财鑫享利-3个月周期开放式6号A,4.05,成立以来年化,0,1.8,2.25,3.05,,4.05,2,CNY,1.0,0,,2026-03-16 19:55:49.267624
WPXK24M0201A,上银理财鑫享利-2个月周期开放式1号,2.59,成立以来年化,0,1.88,2.5,2.14,,2.59,2,CNY,1.0,0,,2026-03-16 19:55:49.267976
WPXK24M0304A,上银理财鑫享利-3个月周期开放式4号A,3.12,成立以来年化,0,1.75,2.55,2.19,,3.12,2,CNY,1.0,0,,2026-03-16 19:55:49.268152
WPXK24M0304B,上银理财鑫享利-3个月周期开放式4号B,3.17,成立以来年化,0,1.75,2.55,2.19,,3.17,2,CNY,1.0,0,,2026-03-16 19:55:49.268328
WPXK24M0305A,上银理财鑫享利-3个月周期开放式5号A,3.59,成立以来年化,0,1.68,2.21,1.97,,3.59,2,CNY,1.0,0,,2026-03-16 19:55:49.268504
WPXK24M0604A,上银理财鑫享利-6个月周期开放式4号A,3.59,成立以来年化,0,1.53,2.34,2.05,,3.59,2,CNY,1.0,0,,2026-03-16 19:55:49.268679
WPXK24M0901A,上银理财鑫享利-9个月周期开放式1号A（积极型）,3.42,成立以来年化,0,1.7,2.82,2.16,,3.42,2,CNY,1.0,0,,2026-03-16 19:55:49.268856
WPXK24M1201A,上银理财鑫享利-12个月周期开放式1号A,3.45,成立以来年化,0,1.4,2.19,1.83,,3.45,2,CNY,1.0,0,,2026-03-16 19:55:49.269031
WPXK24M1202A,上银理财鑫享利-12个月周期开放式2号A,4.15,成立以来年化,0,1.29,3.82,4.16,,4.15,2,CNY,1.0,0,,2026-03-16 19:55:49.269205
WPXK24M1203A,上银理财鑫享利-12个月周期开放式3号A,,,0,1.59,9.45,7,,4.43,2,CNY,1.0,1,,2026-03-16 19:55:49.269379
WPXK24M1204A,上银理财鑫享利-12个月周期开放式4号A,,,0,1.79,9.4,6.96,,4.41,2,CNY,1.0,1,,2026-03-16 19:55:49.269554
WPXK22D0701A,上银理财鑫享利-7天,2.47,成立以来年化,0,1.73,2.17,1.85,,2.47,2,CNY,1.0,0,,2026-03-16 19:55:49.269736
WPXK22M0101A,上银理财鑫享利-1个月,2.02,近1月年化,0,2.02,2.41,2.09,,2.58,2,CNY,1.0,0,,2026-03-16 19:55:49.269910
WPXK23M0301A,上银理财鑫享利-3个月周期开放式1号,2.04,近3月年化,0,1.56,2.04,1.89,,2.77,2,CNY,1.0,0,,2026-03-16 19:55:49.270085
WPXK23M0301B,上银理财鑫享利-3个月周期开放式1号B,,,0,1.57,2.04,1.89,,2.29,2,CNY,1.0,0,,2026-03-16 19:55:49.270259
WPXK23M0302A,上银理财鑫享利-3个月周期开放式2号,2.61,近3月年化,0,1.85,2.61,2.15,,2.74,2,CNY,1.0,0,,2026-03-16 19:55:49.270433
WPXK23M0302B,上银理财鑫享利-3个月周期开放式2号B,,,0,1.85,2.56,2.06,,2.09,2,CNY,1.0,0,,2026-03-16 19:55:49.270610
WPXK23M0303A,上银理财鑫享利-3个月周期开放式3号A,2.71,成立以来年化,0,1.81,2.42,2.13,,2.71,2,CNY,1.0,0,,2026-03-16 19:55:49.270793
WPXK23M0303B,上银理财鑫享利-3个月周期开放式3号-专享款,2.44,近3月年化,0,1.82,2.44,2.15,,2.73,2,CNY,1.0,0,,2026-03-16 19:55:49.270970
WPXK23M0601A,上银理财鑫享利-6个月周期开放式1号,2.92,成立以来年化,0,1.95,2.47,2.06,,2.92,2,CNY,1.0,0,,2026-03-16 19:55:49.271145
WPXK23M0601C,上银理财鑫享利-6个月周期开放式1号C,,,0,2,2.52,2.11,,2.64,2,CNY,1.0,1,,2026-03-16 19:55:49.271319
WPXK23M0602A,上银理财鑫享利-6个月周期开放式2号,2.64,成立以来年化,0,2.06,2.52,2.07,,2.64,2,CNY,1.0,0,,2026-03-16 19:55:49.271493
WPXK23M0602B,上银理财鑫享利-6个月周期开放式2号B,,,0,2.01,2.43,1.96,,1.9,2,CNY,1.0,0,,2026-03-16 19:55:49.271667
WPXK23M0603A,上银理财鑫享利-6个月周期开放式3号A,3.67,成立以来年化,0,1.8,2.59,2.29,,3.67,2,CNY,1.0,0,,2026-03-16 19:55:49.271847
